n,Day,Avg_Passengers
86,1,1.834665071
87,6,1.75137068
88,5,1.780777556
89,7,1.642479965
90,8,1.643997031
91,10,1.65220222
92,11,1.684405948
93,2,1.713528871
94,13,1.748391394
95,14,1.647262869
96,15,1.650307528
97,16,1.655111051
98,12,1.760529492
99,3,1.695832548
100,4,1.706717861
101,18,1.69267535
102,19,1.7837257
103,17,1.658103926
104,20,1.772320599
105,9,1.649433688
106,21,1.693483251
107,24,1.692207316
108,25,1.686688433
109,23,1.661307033
110,22,1.649814647
111,27,1.751097887
112,26,1.768354055
113,28,1.64673995
114,31,1.661184074
115,29,1.650386656
116,30,1.646007179
